partyid,id,libcon,age,biden_likes,biden_dislikes,trump_likes,trump_dislikes,mipp_1
6. Not very strong Republican,452021,6. Conservative,34,NA,"Race- History of viewpoints, and comments.  Not believable.- Immigration- [REDACTED DETAILS] we are not the worlds hospital nor sanctuary.  There is a process.- Foreign Policy- His comments on policies regarding what happened when he was vice-president in regard to Iran, Libya, and Syria are not clear, change periodically, and are very defensive always stating that they got Obama as an excuse for failure for the rise of ISIS.- Corruption- The man has been involved in the game of politics for way too long, and that creates a very certain methodology of thought and action.  Politics is downstream from culture, and he has not kept up.- Climate- He supports the fantasy of the 'Green New Deal' and doesn't seem to grasp the absurdity of the cost of it.  Economics is a real thing.Criminal Justice- The democrats as a whole, but Mr. Biden included have not done much, if anything to downplay the violence and rioting in our country today.  It doesn't fit their narrative- and that is pathetic...have a backbone.- 2nd Amendment- Speaking of having Mr. Orourke as being his 'Gun Czar'","- Democracy- The anti-american hatred, hatred for the president, the election results, their hypocrisy, and the extreme behavior in trying to silence anyone who opposes a point of view other than theirs.  Mr. Trump stands proudly for the love of this country, the people of this country, and when people say otherwise it is mind blowingly taken out of context.- Hard Work- The left would rather sit back and let the country burn, let the ships rudder brake and drift with the current and let the radicalized spoiled brats of this country go rampant without consequence in this country.  Mr. Trump will put in the work, his people will put in the work to get the ship back on course.- Not a Politician- People in Washington hate him.  There has been behind the back deals, backstabbing, betrayals, you name it, they don't like him because he goes against the status quo.  Disregarding the years of built up bureaucracy to make decisions, he makes things happen when he can.  - Military- He loves the men and woman of the services.  He questions careerists, as they are politicians as well.  - 2nd amendment- I feel safe that my gun rights will remain unaffected and protected.",NA,"Reopening our economy and our businesses.  Maintaining energy independence, while continuing to broker peace deals in the middle east.  Bring in a change of law and order and end the riots by enforcing the laws on the books.  The rise of socialism within our system of government needs to be curtailed and stopped."
3. Independent-Democrat,452045,4. Moderate; middle of the road,36,He picked Harris as his running mate.,NA,NA,"Everything. He is unprofessional, not intelligent and has made the country divisive and segerated",Racism Decisiveness COVID-19
1. Strong Democrat,452083,2. Liberal,74,"honesty, empathy, open minded",NA,NA,He is an idiot and a bigot only interested in himself.He is a lawbreaker.He is dishonest and a liar.He is destroying our country.He is disrespectful of women.,Environment. Not enough leadership to solving problems because of inability to grasp seriousness of long term problems.
6. Not very strong Republican,452090,6. Conservative,64,NA,Way past his prime,gETS THINGS ACCOMPLISHED,NA,Fighting Socialism.
6. Not very strong Republican,452120,5. Slightly conservative,22,NA,everything.,we already know what we’ve got with one shitty president. I don’t want to start new with a different bad president.,NA,NA
5. Independent-Republican,452144,6. Conservative,77,NA,HE IS SENILE. DON NOTHING IN 47 YES.//,NA,NA,FRAGMENTATION OF THE RACIAL AND CULTURE.PEOPLE ARE TALKING AT EACH OTHER RATHER THAN TO EACH OTHER.
6. Not very strong Republican,452175,-9. Refused,-9. Refused,NA,joe baiden is not good for America he been sleeping on job and forget too much couldnt remember and he smell young girls perfumes as i saw on news i said wow why is that ???,Donald Trump did good job for America the government people at white house did not work as team with Donald Trump,NA,NA
3. Independent-Democrat,452229,4. Moderate; middle of the road,37,NA,NA,he is rude and unpredictible and disrespectful,NA,"Minding our business and focusing on health care, education"
5. Independent-Republican,452243,4. Moderate; middle of the road,36,NA,"He can’t make a complete sentence without using a telepromter, higher taxes, anti-guns, open boarders, chose that fake Kamala as VP, hasn’t condemed the riots, was in Washington for 50 years, he has dementia, the list goes on.",The tax cuts and great economy we had before the virus hit us.,NA,our freedom with these lockdowns
5. Independent-Republican,452267,6. Conservative,51,NA,NA,Doing what he said he was going to do.,NA,Media dishonesty
3. Independent-Democrat,452281,2. Liberal,27,He's not Donald Trump. Also he takes the Covid-19 pandemic far more seriously,NA,Far too many things to list here,"I think he's corrupt, incompetent and racist",Authoritarianism
2. Not very strong Democrat,452311,4. Moderate; middle of the road,37,we need change take racism out the white house,NA,NA,NA,covid relief help from the government
-9. Refused,452328,99. Haven't thought much about this,49,NA,NA,NA,NA,NA
3. Independent-Democrat,452410,2. Liberal,28,Empathy and experience in government and public service.,"If he were to support and not condemn racism, blatant misogyny, disregard science, and lack tolerance and acceptance for people of color or immigrants.",NA,"Because I’m not voting against Donald Trump but what he will always represent and the racist cult like following he empowers. Also his blatant misogyny, bully tactics and his lack of empathy and emotional intelligence.","Colonization and systemic racism IntolerancePseudo Christian fundamentalistsToo few owning too many,disproportionate class systems  Lack of decent standard living wages Lack of universal healthcareComplete Education reformLobbying and SUPER PACS"
4. Independent,452427,2. Liberal,40,Supports rights for all people,NA,NA,"Racist, sexist, transphobic, liar","Racism, transphobia, and other intolerances."
4. Independent,452434,4. Moderate; middle of the road,46,NA,"Too old, not mentally sharp",NA,Too many lies and poor response towards COVID-19 and distrust of the scientific community.,Covid stopping production and general employmentCapitalists stopping America from changing for the better due to their greedCongress doesn't have the best interest of the people in mind they are controlled by big business Congress is not well informed to make good decisions and are afraid of change
7. Strong Republican,452441,6. Conservative,21,NA,I am having a hard time to believe he will be a honest president,He is a business man and not a politician. He has proven himself to be an honest good president.,NA,i dont know. I feel blessed. But I think we need to review work laws and how people are working. most jobs dont require a 8-5 to finish the task i think thats outdated. police departments need to get looked
7. Strong Republican,452465,6. Conservative,63,NA,Liberal platform; pro abortion; Socialist Views; raise our taxes;,"Conservative platform, right to life and economic record.","on second thought - it won't make me not vote for him with the current nominees, but if someone else could run with a chance to win and had the same economic viewpoint, conservative platform and wasn't as arrogant",2020 Presidential electional
1. Strong Democrat,452472,2. Liberal,68,"Knows government inside out, empathetic, restore America's status around the world, help pave the way for middle class and poor people to gain a better life.",NA,NA,"Idiot, self serving, republican",party polarization
7. Strong Republican,452496,6. Conservative,27,NA,Hes a pupet who tries to sway a certain demographic by playing despacito at press confrances. The majority of the time he doesnt know what the hell he is even talking about or forgets what hes talking about. He hides in his bacement until summoned by the corrupt and then once hes on live telivision and cameras are rolling hes caught smelling and touching little children and nibbling on his wifes fingers.,"He is more for the people while the democratic party is for more government power over people. He did everything he said he was going to do. Hes working to protect our borders, he has stimulated the econonmy and created jobs for people. He took a pay cut running for/ as president not for personal gain but to better our country. Trump 2020",NA,"the media/ fake news/ reporting, liberals, people in power trying to use race to divide people, socilism democrats"
